Name,Value,Date,Account,Category,Subcategory
Restau Fisica,25.3,12/09/2019,BB,Food,Eat out
Bilhete Unico,30.1,15/09/2019,Parents,Transport,Public transport
Bandeco,50,15/09/2019,Cash,Food,Eat out
Impressao apostila,35,24/09/2019,Cash,Study,Documents
Taxa BB,13.25,25/09/2019,BB,Taxes,Transaction
Agua,72.33333333,30/09/2019,Parents,Home,Water
Cafe,75,30/09/2019,Parents,Food,Home meal
Luz,138.6666667,30/09/2019,Parents,Home,Electricity
Mercado,150,30/09/2019,Parents,Food,Mercado
Internet,191.3333333,30/09/2019,Parents,Home,Internet
Refeicoes compradas ate criacao,270,30/09/2019,Parents,Food,Home meal
Refeicoes em casa ate criacao,390,30/09/2019,Parents,Food,Home meal
Carro,1000,30/09/2019,Parents,Transport,Car
TED,2.64,01/10/2019,BB,Taxes,Transaction
Cookie,3.5,10/10/2019,Nu,Food,Snack
Korean,62.7,11/10/2019,Nu,Food,Extra
Oazi,21.14,16/10/2019,Nu,Food,Eat out
Oazi,24.98,18/10/2019,Nu,Food,Eat out
Oazi,32.07,23/10/2019,Nu,Food,Eat out
Oazi,25.13,25/10/2019,Nu,Food,Eat out
IVVB,0.4,30/10/2019,Easy,Taxes,Buy tax
Oazi,24.09,30/10/2019,Nu,Food,Eat out
Agua,72.33333333,31/10/2019,Parents,Home,Water
Cafe,75,31/10/2019,Parents,Food,Home meal
Luz,138.6666667,31/10/2019,Parents,Home,Electricity
Mercado,150,31/10/2019,Parents,Food,Mercado
Internet,191.3333333,31/10/2019,Parents,Home,Internet
Refeicoes fora,297,31/10/2019,Parents,Food,Eat out
Refeicoes em casa,450,31/10/2019,Parents,Food,Home meal
Carro,1000,31/10/2019,Parents,Transport,Car
Oazi,27.93,01/11/2019,Nu,Food,Eat out
Oazi,31.78,06/11/2019,Alelo,Food,Eat out
Oazi,30.3,08/11/2019,Alelo,Food,Eat out
Piscininha,20.64,13/11/2019,Alelo,Food,Eat out
New taste kilo,23.9,19/11/2019,Alelo,Food,Eat out
Oazi,28.53,22/11/2019,Alelo,Food,Eat out
Piscininha,16.89,26/11/2019,Alelo,Food,Eat out
Piscininha,13.78,27/11/2019,Alelo,Food,Eat out
Impressao,4.5,28/11/2019,Cash,Study,Documents
Oazi,29.86,29/11/2019,Alelo,Food,Eat out
Catherine,124.9,29/11/2019,Parents,Electronics,Games
BRAX,0.27,30/11/2019,Easy,Taxes,Buy tax
Agua,72.33333333,30/11/2019,Parents,Home,Water
Cafe,75,30/11/2019,Parents,Food,Home meal
Luz,138.6666667,30/11/2019,Parents,Home,Electricity
Mercado,150,30/11/2019,Parents,Food,Home meal
Mercado,150,30/11/2019,Parents,Food,Mercado
Internet,191.3333333,30/11/2019,Parents,Home,Internet
Refeicoes fora,297,30/11/2019,Parents,Food,Eat out
Refeicoes em casa,450,30/11/2019,Parents,Food,Home meal
Carro,1000,30/11/2019,Parents,Transport,Car
Piscininha,18.7,03/12/2019,Alelo,Food,Eat out
Headset,88.98,03/12/2019,Nu,Gift,Parents
Monografia,13,04/12/2019,Nu,Study,Documents
Cuca,23.9,04/12/2019,Alelo,Food,Eat out
Monografia,39,04/12/2019,Cash,Study,Documents
Oazi,29.41,06/12/2019,Alelo,Food,Eat out
Piscininha,19.69,10/12/2019,Alelo,Food,Eat out
New taste kilo,23.9,11/12/2019,Alelo,Food,Eat out
Oazi,26.31,12/12/2019,Alelo,Food,Eat out
Mcao,36.5,12/12/2019,Alelo,Food,Snack
Mcao,7.9,13/12/2019,Alelo,Food,Eat out
Oazi,27.2,13/12/2019,Alelo,Food,Eat out
IVVB,0.63,14/12/2019,Easy,Taxes,Buy tax
Detran,43.77,15/12/2019,Nu,Taxes,Government
Detran,86.77,15/12/2019,Parents,Taxes,Government
Flight Foz,1081.8,15/12/2019,Parents,Travel,Flight
Flight Brasil,4412.15,15/12/2019,Parents,Travel,Flight
Uber,20.7,18/12/2019,Nu,Transport,Uber
Oazi,24.53,19/12/2019,Alelo,Food,Eat out
Mcao,32.5,19/12/2019,Alelo,Food,Eat out
Torta,15.9,20/12/2019,Alelo,Food,Snack
Piscininha,19.91,20/12/2019,Alelo,Food,Eat out
Oazi,25.87,23/12/2019,Alelo,Food,Eat out
Airbnb Foz,527.74,23/12/2019,Nu,Travel,Hotel
Taco bell,31.9,26/12/2019,Alelo,Food,Eat out
Rappizza of Friendship,10.77,27/12/2019,Nu,Food,Eat out
Agua,72.33333333,30/12/2019,Parents,Home,Water
Cafe,75,30/12/2019,Parents,Food,Home meal
