Ticker,Buy,Shares,Buy Tax,Date
IVVB11,130.8,10,0.4,30/10/2019
BRAX11,87.5,10,0.27,14/11/2019
IVVB11,139.03,10,0.63,12/12/2019
BBSD11,95.72,10,0.29,09/01/2020
BRAX11,97.03,10,0.39,16/01/2020
IVVB11,147.8,10,0.45,31/01/2020
BBSD11,96.67,10,0.31,07/02/2020
BRAX11,96.4,10,0.29,21/02/2020
BBSD11,89.42,10,0.36,04/03/2020
BBSD11,65.34,10,0.19,21/05/2020
IVVB11,201.792,10,0.29,28/09/2020
IVVB11,217.48,10,0.45,19/01/2021
BRAX11,97.6,10,0.31,25/02/2021
MSFT34,53.37,10,0.17,26/02/2021
TSLA34,126.81,5,0.28,02/03/2021
IRDM11,151.76,10,0.44,04/03/2021
IRDM11,137.53,5,0.21,05/03/2021
DISB34,73.93,7,0.14,15/03/2021
BTC,293319.5498,0.00528168,0.78,03/03/2021
BTC,292500.4176,0.00149675,2.2,03/03/2021
ETH,9161.648842,0.02280703,1.05,03/03/2021
DISB34,70.52,8,0.18,13/04/2021
TSLA34,118.73,5,0.19,13/04/2021
FBOK34,59.277,10,0.19,22/04/2021
BTC,325895.5,0.00534297,8.75,03/03/2021
ETH,12977.10095,0.05750514,3.75,03/03/2021
IVVB11,247.215,10,0.78,27/04/2021
MSFT34,54.67,20,0.32,10/05/2021
TSLA34,94.69,7,0.19,14/05/2021
IVVB11,237.14,10,0.79,14/05/2021
BTC,229499.9881,0.00667669,7.7,20/05/2021
ETH,16239.98965,0.04043722,3.3,20/05/2021
DISB34,61,10,0.18,21/05/2021
Cash,2.45,1,0,01/07/2021
