Ticker,2016,2017,2018,2019,2020,2021
BRAX11,48.52298137,63.33219529,74.2,95.85,99.1,109.37
IVVB11,77.69533145,91.04338939,97.99,138.71,210.8,232.6
BBSD11,41.07320817,61.3222998,71.14,95.73,92.45,96.01
MSFT34,8.11,11.32,15.88,26.71,48.03,52.45
TSLA34,4.7,6.34,7.13,10.85,120.46,96
IRDM11,,,54.43,93.22,125.41,131.39
DISB34,22.39,23.7,27.33,39.4,61.27,60.11
BTC,3600,51204,15199,29199,153700,196991.07
ETH,,,,525.36,4098,14200
FBOK34,13.55,21.12,18.64,30.09,50.81,59.85
Cash,2.45,2.45,2.45,2.45,2.45,2.45
GOGL34,17.5,23.28,26.9,36.85,62.18,75.12
AAPL34,8.92,13.65,14.85,30.13,68.47,67.62
AMZN34,15.22,24.72,37.62,48.45,107.41,108.89
S1PO34,,,,158.96,411.38,455.41
NFLX34,8.38,13.14,20.32,26.61,55.3,60.04
MELI34,,,,20.47,72.5,77.45
COCA34,19.58,22.53,28.11,35.64,46.51,45.76
MCDC34,17.98,26.51,32.54,39.46,55.61,57.66
PFIZ34,23.55,27.11,38.94,38.14,48.67,45.91
JPMC34,25.76,32.76,34.79,55.26,66.49,84.8
BERK34,26.54,32.21,38.67,46.09,60.52,66.6
